id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
bf_171,braille_corruption,0.8968,0.8839,-0.0129,0.7293,0.7228,-0.0065
bf_172,braille_corruption,0.9397,0.9397,0.0,0.8374,0.8374,0.0
bf_173,braille_corruption,0.9722,0.9722,0.0,0.9057,0.9057,0.0
bf_174,braille_corruption,0.9,0.9,0.0,0.7362,0.7362,0.0
bf_175,braille_corruption,0.9014,0.9014,0.0,0.7408,0.7534,0.0125
bf_176,braille_corruption,0.9688,0.9688,0.0,0.8845,0.8845,0.0
bf_177,braille_corruption,0.9577,0.9437,-0.0141,0.8498,0.8252,-0.0245
bf_178,braille_corruption,0.9482,0.9442,-0.004,0.8331,0.8331,0.0
bf_179,braille_corruption,0.9139,0.9073,-0.0066,0.7349,0.7303,-0.0046
bf_180,braille_corruption,0.925,0.9,-0.025,0.7627,0.728,-0.0347
bf_181,braille_corruption,0.9241,0.9241,0.0,0.7724,0.7724,0.0
bf_182,braille_corruption,0.913,0.913,0.0,0.7455,0.7472,0.0018
bf_183,braille_corruption,0.9355,0.9355,0.0,0.758,0.758,0.0
bf_184,braille_corruption,0.9189,0.9189,0.0,0.7424,0.7424,0.0
bf_185,braille_corruption,0.9036,0.8916,-0.012,0.6731,0.6735,0.0003
bf_186,braille_corruption,0.9635,0.9635,0.0,0.8794,0.8794,0.0
bf_187,braille_corruption,0.8889,0.8727,-0.0162,0.6779,0.6752,-0.0026
bf_188,braille_corruption,0.8676,0.8382,-0.0294,0.6339,0.6079,-0.0261
bf_189,braille_corruption,0.9216,0.9118,-0.0098,0.7632,0.7546,-0.0086
bf_190,braille_corruption,0.9533,0.9439,-0.0093,0.8489,0.8409,-0.008
bf_191,braille_corruption,0.9574,0.9362,-0.0213,0.8435,0.8324,-0.0111
bf_192,braille_corruption,0.8941,0.8824,-0.0118,0.6961,0.6964,0.0003
bf_193,braille_corruption,0.9583,0.9583,0.0,0.8376,0.8376,0.0
bf_194,braille_corruption,0.9487,0.9487,0.0,0.8167,0.8167,0.0
bf_195,braille_corruption,0.9487,0.9487,0.0,0.834,0.834,0.0
bf_196,braille_corruption,0.9583,0.9583,0.0,0.8468,0.8468,0.0
bf_197,braille_corruption,0.9328,0.9289,-0.004,0.7968,0.7954,-0.0013
bf_198,braille_corruption,0.9214,0.9214,0.0,0.7629,0.7629,0.0
bf_199,braille_corruption,0.9151,0.9245,0.0094,0.782,0.7869,0.0049
bf_200,braille_corruption,0.8854,0.8646,-0.0208,0.7042,0.7042,0.0
