id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
nc_051,merged_words,0.9792,0.9792,0.0,0.9256,0.9256,0.0
nc_052,split_words,0.9796,0.9796,0.0,0.9394,0.9394,0.0
nc_053,spelling_variation,0.875,0.875,0.0,0.6741,0.6741,0.0
nc_054,dropped_function_words,0.8125,0.8125,0.0,0.7834,0.7834,0.0
nc_055,number_format_noise,0.9792,0.9792,0.0,0.9256,0.9256,0.0
nc_056,mixed_noise,0.8958,0.9167,0.0208,0.7259,0.7448,0.0188
nc_057,missing_punctuation,0.9762,0.9762,0.0,0.9796,0.9796,0.0
nc_058,merged_words,0.9524,0.9524,0.0,0.8674,0.8674,0.0
nc_059,split_words,0.9545,0.9545,0.0,0.8607,0.8607,0.0
nc_060,spelling_variation,0.9286,0.9286,0.0,0.8013,0.8013,0.0
nc_061,dropped_function_words,0.7619,0.7619,0.0,0.7077,0.7077,0.0
nc_062,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_063,mixed_noise,0.9048,0.9048,0.0,0.7187,0.7187,0.0
nc_064,missing_punctuation,0.975,1.0,0.025,0.9785,1.0,0.0215
nc_065,merged_words,0.975,0.975,0.0,0.9092,0.9092,0.0
nc_066,split_words,0.9756,0.9756,0.0,0.9262,0.9262,0.0
nc_067,spelling_variation,0.975,0.975,0.0,0.9092,0.9092,0.0
nc_068,dropped_function_words,0.825,0.825,0.0,0.7481,0.7481,0.0
nc_069,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_070,mixed_noise,0.95,0.9756,0.0256,0.9044,0.9262,0.0218
nc_071,missing_punctuation,0.9545,0.9545,0.0,0.8983,0.8983,0.0
nc_072,merged_words,0.9773,0.9773,0.0,0.9182,0.9182,0.0
nc_073,split_words,0.9778,0.9778,0.0,0.9335,0.9335,0.0
nc_074,spelling_variation,0.9545,0.9545,0.0,0.8973,0.8973,0.0
nc_075,dropped_function_words,0.9091,0.9091,0.0,0.9212,0.9212,0.0
nc_076,number_format_noise,0.9545,0.9545,0.0,0.8485,0.8485,0.0
nc_077,mixed_noise,0.9318,0.9318,0.0,0.7908,0.7908,0.0
nc_078,missing_punctuation,0.9556,0.9778,0.0222,0.9008,0.9202,0.0194
nc_079,merged_words,0.9778,0.9778,0.0,0.9202,0.9202,0.0
nc_080,split_words,0.9375,0.9375,0.0,0.807,0.807,0.0
nc_081,spelling_variation,0.9556,0.9556,0.0,0.9404,0.9404,0.0
nc_082,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_083,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_084,mixed_noise,0.8667,0.8667,0.0,0.6863,0.6863,0.0
nc_085,missing_punctuation,0.9667,1.0,0.0333,0.9706,1.0,0.0294
nc_086,merged_words,0.9667,0.9667,0.0,0.8747,0.8747,0.0
nc_087,split_words,0.9677,0.9677,0.0,0.937,0.937,0.0
nc_088,spelling_variation,0.9333,0.9333,0.0,0.843,0.843,0.0
nc_089,dropped_function_words,0.8,0.8,0.0,0.7494,0.7494,0.0
nc_090,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_091,mixed_noise,0.7667,0.7667,0.0,0.6232,0.6232,0.0
nc_092,missing_punctuation,0.9855,0.971,-0.0145,0.9495,0.9066,-0.043
nc_093,merged_words,0.971,0.9565,-0.0145,0.8987,0.8555,-0.0432
nc_094,split_words,0.9718,0.9571,-0.0147,0.9179,0.8801,-0.0378
nc_095,spelling_variation,0.971,0.9565,-0.0145,0.9544,0.9116,-0.0428
nc_096,dropped_function_words,0.942,0.9275,-0.0145,0.9253,0.8819,-0.0434
